reviews,date,ratings,year,month,cleaned_reviews,polarity,Sentiment_analysis
"✅ Trip Verified | London Heathrow to Mumbai in a Boeing 787-8 in Business Class. The lounge near Terminal 5, Gate B36 at Heathrow was outstanding in its service and offerings. It provides us just the right frame to relax in before boarding as the departure was delayed by almost 2 hours. The 787-8 on our flight featured the older Club World seating. Not the best in class but comfortable enough. I hear that the new Club Suites configuration is far superior. British Airways onboard service was outstanding in every respect. All in all, a very comfortable flight. One minor irritant: for some reason this aircraft was not fitted with WiFi. We got into Mumbai at 8 am, a civilized time to arrive.",2023-07-31,1,2023,7, london heathrow   mumbai     boeing         business class    lounge near terminal    gate       heathrow   outstanding     service   offerings    provides   just   right frame   relax   before boarding     departure   delayed   almost   hours              flight featured   older club world seating      best   class   comfortable enough    hear that     club suites configuration     superior  british airways onboard service   outstanding   every respect           very comfortable flight    minor irritant    some reason this aircraft     fitted with wifi      into mumbai          civilized time   arrive ,0.3478754578754578,Positive
"✅ Trip Verified | Keflavík, Iceland to London Heathrow on an A320 in Business Class. The journey got off on an unpleasant note - the Business Class line at Keflavík was so long that it looked like an Economy Class check-in. It took over 30 mins to get through. There was no lounge access offered. The boarding process was well handled. British Airways Business Class seats for the Club Europe product are terrible - exactly the same as Economy with the middle seat left vacant. You don't even get extra pitch. What made the overall product tolerable were the good onboard service and the inflight WiFi. Also the fact that the flight leaves at a convenient mid-morning time of 10:40 am.",2023-07-31,9,2023,7, keflav    iceland   london heathrow            business class    journey         unpleasant note     business class line   keflav       long that   looked like   economy class check      took over    mins     through  there     lounge access offered    boarding process   well handled  british airways business class seats     club europe product   terrible   exactly   same   economy with   middle seat left vacant        even   extra pitch  what made   overall product tolerable were   good onboard service     inflight wifi  also   fact that   flight leaves     convenient   morning time           ,-0.1,Negative
"✅ Trip Verified | Terrible Experience with British Airways. I booked a flight with BA to travel from Gibraltar to London Heathrow on May 10, 2023. My flight was scheduled to leave at 4:00 p.m. in the afternoon. I had originally planned on leaving my luggage at Heathrow upon arrival and travelling to visit and overnight at my cousin's place. En route to GIB airport a few hours prior to departure, I checked my flight details and found out that my flight had been cancelled. I had a connecting flight booked with Westjet from London Heathrow to Vancouver the following day and I had to make that flight, so it was imperative that I got to London. I checked the BA website and couldn't find any other flights with them that would work, so unfortunately I made the mistake of requesting a refund. I managed to find a flight out of Malaga that got me into London just after 10:00 p.m. so I booked that and then called British Airways as I wanted to discuss compensation. That's when they advised me that because I had requested a refund (they used the phrase ""abandoned"" travel with them), they were not prepared to do anything for me. Apparently, I should have called them first, and then they would have made the arrangements. Of course they don't explain that on their website - they just ask if you want a refund and then proceed. And even when I plead my case with the agent at Malaga airport and then followed up with Customer Relations several times via email, they flat out refused to budge. I had used a travel voucher to cover the cost of my flight and had used Avios to cover the cost of my checked baggage, so in other words no out of pocket costs for the trip. Once this incident happened, I ended up spending 660 euros in airfare and checked baggage charges to get to London from Malaga (i.e., different airport than the one I had originally booked from). And because the luggage storage facility at Heathrow had closed by the time I eventually arrived, I ended up booking a night at a hotel since I couldn't travel by train to my cousin's place any longer (3 bags in tow) and I didn't want to put him out and have him drive to the airport to pick me up. This cost me another £125 in room and meal costs. All BA ended up doing to compensate me was to give me 5,000 free Avios - a mere pittance compared to my out of pocket expenses. Despite trying to explain to them why I requested the refund instead of calling them first, they wouldn't budge. Very easy for them to say what I should have done since they work there and know the rules and they weren't the ones scrambling to find alternative travel arrangements within a few hours. I pointed out that on their website they should simply instruct customers to call them when this situation happens, and that way they would never encounter this problem. My feeling is that they put the refund option out there in the hope that customers will make the mistake I did so they can then wash their hands of the situation and ultimately save money. I've been an Executive Club member for years and they simply didn't care. They said there was nothing they could do. I'm sure if one of the BA executive's friends or family members had gone through this, staff there would have been given the instruction to make things right. I used to be a fan of BA but they have really gone downhill in my opinion. Once I used up my remaining Avios and travel credit, I will cancel my Executive Club membership and never fly with them again.",2023-07-29,6,2023,7, terrible experience with british airways    booked   flight with     travel from gibraltar   london heathrow                 flight   scheduled   leave                 afternoon      originally planned   leaving   luggage   heathrow upon arrival   travelling   visit   overnight     cousin   place    route     airport     hours prior   departure    checked   flight details   found   that   flight   been cancelled        connecting flight booked with westjet from london heathrow   vancouver   following           make that flight        imperative that       london    checked     website   couldn   find   other flights with them that would work    unfortunately   made   mistake   requesting   refund    managed   find   flight     malaga that     into london just after                booked that   then called british airways     wanted   discuss compensation  that   when they advised   that because     requested   refund  they used   phrase  abandoned  travel with them   they were   prepared     anything      apparently    should have called them first    then they would have made   arrangements    course they     explain that   their website   they just       want   refund   then proceed    even when   plead   case with   agent   malaga airport   then followed   with customer relations several times   email  they flat   refused   budge      used   travel voucher   cover   cost     flight     used avios   cover   cost     checked baggage      other words       pocket costs     trip  once this incident happened    ended   spending     euros   airfare   checked baggage charges       london from malaga        different airport than         originally booked from     because   luggage storage facility   heathrow   closed     time   eventually arrived    ended   booking   night     hotel since   couldn   travel   train     cousin   place   longer    bags          didn   want           have   drive     airport   pick      this cost   another        room   meal costs      ended   doing   compensate       give         free avios     mere pittance compared         pocket expenses  despite trying   explain   them     requested   refund instead   calling them first  they wouldn   budge  very easy   them     what   should have done since they work there   know   rules   they weren     ones scrambling   find alternative travel arrangements within     hours    pointed   that   their website they should simply instruct customers   call them when this situation happens    that   they would never encounter this problem    feeling   that they     refund option   there     hope that customers will make   mistake       they   then wash their hands     situation   ultimately save money      been   executive club member   years   they simply didn   care  they said there   nothing they could        sure           executive   friends   family members   gone through this  staff there would have been given   instruction   make things right    used               they have really gone downhill     opinion  once   used     remaining avios   travel credit    will cancel   executive club membership   never   with them again ,0.03361721611721612,Positive
✅ Trip Verified | An airline that lives in their past glory and heading a future of crisis is British Airways. I am not joking we are a family of 7 all in Business Class heading for a Norwegian and Arctic Cruise and they lost 10 of our bags! They will never see me on any of their flights ever a disaster of an airline,2023-07-26,1,2023,7,   airline that lives   their past glory   heading   future   crisis   british airways        joking       family         business class heading     norwegian   arctic cruise   they lost        bags  they will never           their flights ever   disaster     airline,-0.0625,Negative
"✅ Trip Verified |  Check-in Desk rude and dismissive. Flight late but seems the new norm. One world emerald, club world check-in. Staff uncommunicative, did not know what baggage allowance entitled to, once raised (politely) became argumentative and accusatory.",2023-07-26,1,2023,7,  check   desk rude   dismissive  flight late   seems     norm    world emerald  club world check    staff uncommunicative      know what baggage allowance entitled    once raised  politely  became argumentative   accusatory ,-0.3,Negative
"✅ Trip Verified | I chose British Airways especially because I was going to travel with my niece and nephew, and wanted everything to work well. What a disaster! First, it took me two hours to do the check-in online due to a technical problem. I also had to spend more than 20 minutes in a call to a UK number from my Spanish cell phone because that’s the only service they provide on weekends. Then, at the airport, when there was the boarding time, we had to wait with the rest of the people for almost two hours standing on the line without knowing what was going on. They just told us to wait. Finally we could access the plane. After 40 minutes inside, they told us to leave the plane again and told us the flight had been cancelled. We had to take our luggage and queue again for a couple of hours. Then, do the check in again and wait for another flight to take off, which was again delayed! We spent almost 12 hours at the airport. No information was provided, no solutions were offered. We had to seat in the last raw (when I had paid to seat on the first half of the plane). No money was refunded no apologizes or compensation was given. I also had pre-purchased food and they couldn’t provide the service. All in all, terrible. Never again!",2023-07-25,2,2023,7,   chose british airways especially because     going   travel with   niece   nephew    wanted everything   work well  what   disaster  first    took     hours       check   online       technical problem    also     spend more than    minutes     call       number from   spanish cell phone because that     only service they provide   weekends  then      airport  when there     boarding time        wait with   rest     people   almost   hours standing     line without knowing what   going    they just told     wait  finally   could access   plane  after    minutes inside  they told     leave   plane again   told     flight   been cancelled        take   luggage   queue again     couple   hours  then      check   again   wait   another flight   take    which   again delayed    spent almost    hours     airport    information   provided    solutions were offered        seat     last    when     paid   seat     first half     plane     money   refunded   apologizes   compensation   given    also     purchased food   they couldn   provide   service         terrible  never again ,-0.02051282051282051,Negative
"Not Verified | I booked Premium Economy from INV to LAX (via LHR). They notified me of a cancelled flight on my return journey and rebooked me on a flight that my connecting flight arrived too late for! Then they cancelled a flight on my journey to LAX! They then cancelled the rebooked flight on the return journey and rebooking me back on the first flight that they had rebooked me on - the flight that I have no chance of making as my return flight arrives too late into LHR. They re-routed me from LAX to JFK to LHR - which I would have accepted - but they booked the journey in Economy (LAX to JFK) which my husband (6'4"" with a knee injury) - cannot do and now they won't change it - even though they have a direct flight from LAX to LHR with Premium Economy and unacceptable flight allows us 54 mins to transfer flights at JFK - and my husband won't be able to walk slowly, let alone quickly, after enduring the 6-hour flight from LAX to LHR. I have chatted only to have my calls disconnected and I also have online chat which proves I did not accept this re-routed flight to JFK but they won't budge.",2023-07-24,1,2023,7,   booked premium economy from              they notified       cancelled flight     return journey   rebooked       flight that   connecting flight arrived   late    then they cancelled   flight     journey      they then cancelled   rebooked flight     return journey   rebooking   back     first flight that they   rebooked         flight that   have   chance   making     return flight arrives   late into    they   routed   from             which   would have accepted     they booked   journey   economy         which   husband       with   knee injury    cannot       they     change     even though they have   direct flight from       with premium economy   unacceptable flight allows      mins   transfer flights           husband       able   walk slowly    alone quickly  after enduring     hour flight from          have chatted only   have   calls disconnected     also have online chat which proves       accept this   routed flight       they     budge ,0.05833333333333333,Positive
"✅ Trip Verified | A simple story with an unfortunate outcome that really could happen to anyone. My partner and I recently started working after studying purchased two tickets to travel from London City Airport to Frankfurt. When we purchased the tickets, I mistakenly entered my name twice (e.g. Mr John Smith and Ms John Smith). Little did we know that our 1 simple mistake would cost us over 300 pounds. Upon arriving at the airport we were told there was no way to change the name (apparently they can only change 3 letters where there has been a typo?) and I had no other option to purchase the last remaining ticket if I wanted to board the flight - the price: almost seven times (!) higher than my original ticket. Zero empathy was shown. Zero alternative was offered. Trusting BA's staff and under the pretence that there was apparently no other way we could board the flight we bought this ticket. Immediately after I purchased the ticket I contacted BA's 'Commercial Change Booking Team' and informed them of our situation. The service representative apologised and told me they could have changed the name at the cost of a small fee. He offered to cancel my original ticket and issue me a partial refund then, advising me that I had a claim to the difference and I should contact Customer Support to do so. I told this person several times I wanted to claim the cost of the new ticket and even asked him explicitly if by accepting this offer, I would be denied from claiming the cost of the new ticket. He said no, I could claim the difference. Fair enough - we accepted this offer and lodged a ticket with Customer Support for the difference. Two days later, British Airways Customer Response informed us that we were unable to lodge a claim because we had 'voluntarily accepted the cancellation before the flight'. They've continued to send generic emails until this week, when they just stopped responding. So in short, British Airways misled and deceived my partner into accepting a lowball offer to waive our right to claim a refund. It keeps me up at night thinking how they can do this and get away with it so easily.",2023-07-21,1,2023,7,   simple story with   unfortunate outcome that really could happen   anyone    partner     recently started working after studying purchased   tickets   travel from london city airport   frankfurt  when   purchased   tickets    mistakenly entered   name twice         john smith     john smith   little     know that     simple mistake would cost   over     pounds  upon arriving     airport   were told there         change   name  apparently they   only change   letters where there   been   typo           other option   purchase   last remaining ticket     wanted   board   flight     price  almost seven times     higher than   original ticket  zero empathy   shown  zero alternative   offered  trusting     staff   under   pretence that there   apparently   other     could board   flight   bought this ticket  immediately after   purchased   ticket   contacted      commercial change booking team    informed them     situation    service representative apologised   told   they could have changed   name     cost     small      offered   cancel   original ticket   issue     partial refund then  advising   that       claim     difference     should contact customer support          told this person several times   wanted   claim   cost       ticket   even asked   explicitly     accepting this offer    would   denied from claiming   cost       ticket    said      could claim   difference  fair enough     accepted this offer   lodged   ticket with customer support     difference    days later  british airways customer response informed   that   were unable   lodge   claim because      voluntarily accepted   cancellation before   flight   they   continued   send generic emails until this week  when they just stopped responding      short  british airways misled   deceived   partner into accepting   lowball offer   waive   right   claim   refund    keeps       night thinking   they     this     away with     easily ,0.031483843537414964,Positive
"✅ Trip Verified |  Flight was delayed due to the inbound flight arriving late. There was no announcement to inform of the delay nor were the sceens updated. When ready to board we were requested to take our seats quickly to help reduce the delay, which people did. The pilot then announced he had received the documents for the wrong flight from ground staff, so we had to wait while they returned to get the right paperwork. After this was resolved, the pilot announced there would be a delay as there was only two push back tractors and we had to wait again. So after rushing to sit quickly, we sat the the aircraft at the gate for nearly one hour, which is longer than the flight takes ! Of course AMS is not BAs home base and it uses contracted staff here, but it should require a better level of service, It was embarrassing hearing the pilot apologise at every step of the way. It’ll be Eurostar for me next time.",2023-07-21,1,2023,7,  flight   delayed       inbound flight arriving late  there     announcement   inform     delay   were   sceens updated  when ready   board   were requested   take   seats quickly   help reduce   delay  which people      pilot then announced     received   documents     wrong flight from ground staff          wait while they returned       right paperwork  after this   resolved    pilot announced there would     delay   there   only   push back tractors         wait again    after rushing     quickly          aircraft     gate   nearly   hour  which   longer than   flight takes     course         home base     uses contracted staff here      should require   better level   service      embarrassing hearing   pilot apologise   every step              eurostar     next time ,0.01269841269841269,Positive
"Not Verified |  Fast and friendly check in (total contrast to Gatwick). The contract lounge is comfortable and spacious with a bar and pleasant staff but you have to pay for alcohol after the one free glass of wine. Food best avoided. On board, great crew and dinner was actually good quality and substantial apart from the ""chocolate and orange pot"" that seems to appear on every flight - have they bought up the global stock? The crew were always ready to top up drinks although white wine and beers were lukewarm. The crew explained that the carts are supposed to be chilled - from experience they rarely are. Is dry ice so expensive that BA can't afford it?",2023-07-20,4,2023,7,  fast   friendly check    total contrast   gatwick     contract lounge   comfortable   spacious with       pleasant staff     have       alcohol after     free glass   wine  food best avoided    board  great crew   dinner   actually good quality   substantial apart from    chocolate   orange    that seems   appear   every flight   have they bought     global stock    crew were always ready       drinks although white wine   beers were lukewarm    crew explained that   carts   supposed     chilled   from experience they rarely            expensive that       afford   ,0.33141025641025645,Positive
"✅ Trip Verified |  I don't understand why British Airways is classified as a 4 star airline? The service is really mediocre. The food is untasty and insufficient for a long haul trip. Some members of the cabin crew are friendly but they are not attentive enough and create a very basic experience. This really is all about getting from point A to B without what it used to be an enjoyable trip making experience. The inflight entertainment is fairly good, but you do need to bring your own water not to get dehydrated, some snacks and ideally food and perhaps smile to yourself as otherwise you are faced with just a cold, personality less experience. ",2023-07-20,8,2023,7,        understand   british airways   classified       star airline    service   really mediocre    food   untasty   insufficient     long haul trip  some members     cabin crew   friendly   they     attentive enough   create   very basic experience  this really     about getting from point       without what   used       enjoyable trip making experience    inflight entertainment   fairly good        need   bring your   water       dehydrated  some snacks   ideally food   perhaps smile   yourself   otherwise     faced with just   cold  personality less experience  ,0.1470238095238095,Positive
"Not Verified |  I'm sure that BA have gradually made their economy experience (BA Euroflyer out of Gatwick) so miserable that passengers are tempted to upgrade to the lacklustre and overpriced business class. Long wait at the biz checkin ( due to status ) and dealt with by a bored agent - OK third party, but still representing BA - who hardly spoke and avoided eye contact and was more focussed on her fingernails. Lounge was crowded and grubby but at least the staff there are pleasant and helpful On board the seats are cramped and uncomfortable and it took over two hours before crew appeared with food sales and the ""free water"" which on Gatwick services consists of a half full plastic cup rather than the luxury of a small bottle.. A fellow passenger mentioned the delay and the fact that they had no sandwiches for sale which prompted the flight attendant to say that the service was much better on Easyjet who do two service runs etc.",2023-07-20,2,2023,7,      sure that   have gradually made their economy experience    euroflyer     gatwick    miserable that passengers   tempted   upgrade     lacklustre   overpriced business class  long wait       checkin       status     dealt with     bored agent     third party    still representing       hardly spoke   avoided   contact     more focussed     fingernails  lounge   crowded   grubby     least   staff there   pleasant   helpful   board   seats   cramped   uncomfortable     took over   hours before crew appeared with food sales      free water  which   gatwick services consists     half full plastic   rather than   luxury     small bottle     fellow passenger mentioned   delay     fact that they     sandwiches   sale which prompted   flight attendant     that   service   much better   easyjet       service runs   ,0.00781249999999999,Positive
"✅ Trip Verified |  Customer Service does not exist. One world emerald, frequent long haul flyer (including BA) - never seen such poor customer service or “computer says no”. Official BA.com site said all morning and afternoon that flight from Gatwick, delayed 2 hours. Delayed leaving for airport -only for BA to change back to original time. Called BA customer service 1.5 hours prior from highway saying situation - told not to worry, would note and flight rebooked if issue but go to airport. Got to airport 40 mins prior told could not board and that staff did not work for BA so could not help. Back on phone, 3 hours in total to be told could be rebooked, then couldn’t be, round and round. Ultimately told to file complaint. Then found out flight left 2 hours delayed. Paid for extra hotels flights with more competent airlines and now told 38 days wait for complaints to be responded to - heavens help economy and non-status flyers if that’s what the front end of the plane gets!",2023-07-18,2,2023,7,  customer service does   exist    world emerald  frequent long haul flyer  including      never seen such poor customer service    computer says     official     site said   morning   afternoon that flight from gatwick  delayed   hours  delayed leaving   airport  only       change back   original time  called   customer service     hours prior from highway saying situation   told     worry  would note   flight rebooked   issue       airport      airport    mins prior told could   board   that staff     work       could   help  back   phone    hours   total     told could   rebooked  then couldn      round   round  ultimately told   file complaint  then found   flight left   hours delayed  paid   extra hotels flights with more competent airlines     told    days wait   complaints     responded     heavens help economy     status flyers   that   what   front       plane gets ,0.017105263157894735,Positive
"✅ Trip Verified | Another really great pair of flights, on time, no problems at all, champagne was ok and my meal choices were great, the new club suite is a good improvement over the previous seat, in flight entertainment could have been better, can’t wait to fly with BA again and enjoy another great experience.",2023-07-17,1,2023,7, another really great pair   flights    time    problems      champagne         meal choices were great      club suite     good improvement over   previous seat    flight entertainment could have been better      wait     with   again   enjoy another great experience ,0.5476190476190476,Positive
"Not Verified |  Our A380 developed a fault taxiing to the runway - we returned to the gate only to then have the flight cancelled about 3 hours later due to a technical fault. All the while, BA staff were virtually non-existent, it was finally the captain who announced the flight was cancelled. BA provided an alternative the next day involving a connection but it was very much take this or else you were on your own. No arrangements or help made with overnight accommodation or transport,  Finally managed to get the legal minimum £520 compensation out of BA for the 26 hour delay they caused to my journey, and expenses were reimbursed too, but even this took four weeks. The fact that as a Business Class customer BA pays the minimum they can get away with says it all - they couldn't care less about customers, have no interest in loyalty and aren't bothered about your business. Given its our flights that pay BA's way, I'd suggest to anyone they take their hard earned cash to another airline who might at least care less about their customers. Not recommended. ",2023-07-17,9,2023,7,         developed   fault taxiing     runway     returned     gate only   then have   flight cancelled about   hours later       technical fault      while    staff were virtually   existent      finally   captain   announced   flight   cancelled    provided   alternative   next   involving   connection       very much take this   else   were   your      arrangements   help made with overnight accommodation   transport   finally managed       legal minimum      compensation              hour delay they caused     journey    expenses were reimbursed      even this took four weeks    fact that     business class customer   pays   minimum they     away with says       they couldn   care less about customers  have   interest   loyalty   aren   bothered about your business  given     flights that              suggest   anyone they take their hard earned cash   another airline   might   least care less about their customers    recommended  ,-0.02807692307692307,Negative
Not Verified | Horrible airline. Does not care about their customers. Used to be decent but has now since really fell off. A flight time of 5 hours and 30 mins but no meal while the flight attendants were having their eggs and sausage in the back? Didn't even offer juices. I would stick with another airline.,2023-07-16,1,2023,7, horrible airline  does   care about their customers  used     decent       since really fell      flight time     hours      mins     meal while   flight attendants were having their eggs   sausage     back  didn   even offer juices    would stick with another airline ,-0.15833333333333333,Negative
"✅ Trip Verified |  My family and I have flown mostly on British Airways for the last 30 years. I am a priority passenger and fly often enough to recognise cabin crew and know some by name. They used to be a really good airline to fly with. Things have really deteriorated with their face to face customer care since the pandemic. The aircraft look worn. For example, on my flight back my audiovisual equipment did not work and had to be reset twice, finally working in the last hour before we landed. The second time around, I think the reset was done for the whole aircraft. The touch screen function on my screen did not work. The USB charger ports on my seat did not work. The staff were pleasant enough, but their service oozed mediocrity.  There did not seem to be much pride in what they were doing. The food has been the worst part on our BA flights since the pandemic. They gave us a menu, asked what we’d like, did a check and then told us that it was not available as they had run out and would we like to choose something else. They then told us that we’d get first choice at the second service which they couldn’t deliver on. Finally after choosing and getting whatever it is that we did, the food was tasteless. We take part in post flight surveys regularly and have stated all of this, to no avail. As a family of 3, we fly British Airways medium to long haul regularly, possibly 4-6 times a year each. For us, the good things about flying BA are that we are priority customers, usually have a direct flight to our destinations and get good service on the ground, when checking in and in the lounges when we use them.",2023-07-09,2,2023,7,    family     have flown mostly   british airways     last    years        priority passenger     often enough   recognise cabin crew   know some   name  they used       really good airline     with  things have really deteriorated with their face   face customer care since   pandemic    aircraft look worn    example      flight back   audiovisual equipment     work         reset twice  finally working     last hour before   landed    second time around    think   reset   done     whole aircraft    touch screen function     screen     work      charger ports     seat     work    staff were pleasant enough    their service oozed mediocrity   there     seem     much pride   what they were doing    food   been   worst part       flights since   pandemic  they gave     menu  asked what     like      check   then told   that       available   they         would   like   choose something else  they then told   that       first choice     second service which they couldn   deliver    finally after choosing   getting whatever     that        food   tasteless    take part   post flight surveys regularly   have stated     this      avail      family          british airways medium   long haul regularly  possibly     times   year each         good things about flying     that     priority customers  usually have   direct flight     destinations     good service     ground  when checking         lounges when     them ,0.07440476190476189,Positive
"✅ Trip Verified |  This has been by far the worst service I have had on a plane. It's very obvious that if you are flying economy and not a frequent traveler of British Airways, they care very little about you. We had to wait an hour for them to even open the check-in. Once they did, they had 5 lines and only one that serviced economy. Even though the line for economy was three times the length of the premium classes. Then they told economy passengers that all bags had to be check and no carryon due to a full flight and no room in the overhead compartments. Once we arrived at the gate, there were not enough seats to fit everyone and you couldn't leave the boarding area. I will never fly this airline again! ",2023-07-09,4,2023,7,  this   been       worst service   have       plane      very obvious that       flying economy       frequent traveler   british airways  they care very little about          wait   hour   them   even open   check    once they    they     lines   only   that serviced economy  even though   line   economy   three times   length     premium classes  then they told economy passengers that   bags       check     carryon       full flight     room     overhead compartments  once   arrived     gate  there were   enough seats     everyone     couldn   leave   boarding area    will never   this airline again  ,-0.08819444444444445,Negative
